NickName,UserID,Discord,AllianceName,CountryFlag
Calidow,10791458,The Hirschkafer Project,Team Hirschkafer,
Thasa,10792054,The Hirschkafer Project,Team Hirschkafer,
Theollie,10793039,The Hirschkafer Project,Team Hirschkafer,
Unamond,10792319,The Hirschkafer Project,Team Hirschkafer,
Beaanthe,11227954,The Hirschkafer Project,Team Hirschkafer,
Ionesilla,11245192,The Hirschkafer Project,Team Hirschkafer,
Jessawen,11134123,The Hirschkafer Project,Team Hirschkafer,
Sulenia,11134122,The Hirschkafer Project,Team Hirschkafer,
AetheralGleipnir,11318829,è±å§†è±ç‰¹,è±å§†è±ç‰¹,
Caliphon,10746571,The Hirschkafer Project,Team Hirschkafer,
Thacadia,11245195,The Hirschkafer Project,Team Hirschkafer,
Ophesa,11245222,The Hirschkafer Project,Team Hirschkafer,
QiuY Love,7835102,,åŠ³ä¿å± å®°,
NamelessGleipnir,11318831,è±å§†è±ç‰¹,è±å§†è±ç‰¹,
Elotar,10793467,The Hirschkafer Project,Team Hirschkafer,
Adventy,11231470,The Hirschkafer Project,Team Hirschkafer,
Alelia,10956515,Team Nordskar,Team Nordskar,
Teehee,1949925,,rusty lake,ğŸ‡¦ğŸ‡º
Veriryl,11245193,The Hirschkafer Project,Team Hirschkafer,
LuckyWatch,11318828,,è±å§†è±ç‰¹,
Unadine,10793235,The Hirschkafer Project,Team Hirschkafer,
KineticRipper253,11318827,è±å§†è±ç‰¹,è±å§†è±ç‰¹,
NamelessSword706,11318751,è±å§†è±ç‰¹,è±å§†è±ç‰¹,
RegressionWhispe,11318750,è±å§†è±ç‰¹,è±å§†è±ç‰¹,
ArkOfHammer10493,11318832,è±å§†è±ç‰¹,è±å§†è±ç‰¹,
SonicGleipnir163,11318753,è±å§†è±ç‰¹,è±å§†è±ç‰¹,
Temdow,10963828,Team Nordskar,Team Nordskar,
Oriama,11244670,The Hirschkafer Project,Team Hirschkafer,
Melima,10791744,The Hirschkafer Project,Team Hirschkafer,
Melilia,10793819,The Hirschkafer Project,Team Hirschkafer,
LooseTape,10792141,,,
Anemia,10793745,The Hirschkafer Project,Team Hirschkafer,
å°å·åŒå­¦,1944668,xiaohaotongxue,Utopia,ğŸ‡¨ğŸ‡³
KindPen,10421183,,,
Sophrokafer,10791864,The Hirschkafer Project,Team Hirschkafer,
Alene,10791980,The Hirschkafer Project,Team Hirschkafer,
UrbanMarker,11134126,,,
Calisida,11245194,The Hirschkafer Project,Team Hirschkafer,
Petrone,11232083,The Hirschkafer Project,Team Hirschkafer,
CausalityWhisper,11318830,è±å§†è±ç‰¹,è±å§†è±ç‰¹,
Lysanell,11134124,The Hirschkafer Project,Team Hirschkafer,
KineticShockwave,11318826,è±å§†è±ç‰¹,è±å§†è±ç‰¹,
MTNEKO123,2815120,åŠ³ä¿ç»™å’±å–µæ“å±çœ¼,åŠ³ä¿å± å®°,
Onthea,10963708,Team Nordskar,Team Nordskar,
YoungNotepad,5178311,,,
GrimPillow,122446,Talvez_sei,Utopia,
RelativisticPris,11318755,è±å§†è±ç‰¹,è±å§†è±ç‰¹,
NamelessDagger97,11318745,è±å§†è±ç‰¹,è±å§†è±ç‰¹,
Seralia,10792950,The Hirschkafer Project,Team Hirschkafer,
FrostVoyager8447,11318752,è±å§†è±ç‰¹,è±å§†è±ç‰¹,
Asmoni,10956376,Team Nordskar,Team Nordskar,
SupremeWyvern998,11318744,è±å§†è±ç‰¹,è±å§†è±ç‰¹,
Ondow,10956206,Team Nordskar,Team Nordskar,
åŠ³ä¿è›†æ­»å¼€,10961218,åŠ³ä¿ç»™å’±å–µæ“å±çœ¼,åŠ³ä¿å± å®°,
SolarMonsoon4814,11318749,è±å§†è±ç‰¹,è±å§†è±ç‰¹,
CollectiveAlicor,11318748,è±å§†è±ç‰¹,è±å§†è±ç‰¹,
Noah,2050305,,,
CollectiveDevast,11318889,è±å§†è±ç‰¹,è±å§†è±ç‰¹,